time;humantime;cpu0;cpu1;cpu2;cpu3;cpu4;cpu5;cpu6;cpu7;cpu8;memory_used;memory_size
1515031311;04/01/2018 03:01;56.220000;49.450000;56.830000;50.690000;58.340000;60.080000;67.250000;51.570000;64.250000;7138360000.000000;8000000000.000000
1515031611;04/01/2018 03:06;76.540000;;;;;;;;;7315650000.000000;8000000000.000000
1515031911;04/01/2018 03:11;48.150000;70.210000;55.530000;47.930000;62.020000;68.070000;56.820000;48.170000;;7366180000.000000;8000000000.000000
1515032211;04/01/2018 03:16;51.730000;72.410000;59.050000;63.870000;44.290000;49.160000;56.370000;51.890000;;7183350000.000000;8000000000.000000
1515032511;04/01/2018 03:21;50.150000;59.350000;75.600000;;;;;;;7233550000.000000;8000000000.000000
1515032811;04/01/2018 03:26;47.240000;;;;;;;;;7132720000.000000;8000000000.000000
1515033111;04/01/2018 03:31;59.020000;75.910000;52.080000;48.060000;60.990000;50.590000;71.630000;71.270000;;7314100000.000000;8000000000.000000
1515033411;04/01/2018 03:36;53.100000;;;;;;;;;7060860000.000000;8000000000.000000
1515033711;04/01/2018 03:41;63.240000;55.700000;72.550000;57.990000;76.520000;77.150000;76.380000;65.220000;;7344870000.000000;8000000000.000000
1515034011;04/01/2018 03:46;74.470000;53.160000;56.900000;62.850000;45.010000;56.320000;53.880000;;;7172920000.000000;8000000000.000000
1515034311;04/01/2018 03:51;67.380000;64.220000;57.160000;;;;;;;7228100000.000000;8000000000.000000
1515034611;04/01/2018 03:56;68.730000;;;;;;;;;7444510000.000000;8000000000.000000
1515034911;04/01/2018 04:01;55.330000;68.330000;71.690000;59.040000;64.100000;58.200000;67.470000;61.470000;;7120830000.000000;8000000000.000000
1515035211;04/01/2018 04:06;70.700000;70.670000;;;;;;;;7118690000.000000;8000000000.000000
1515035511;04/01/2018 04:11;70.710000;66.800000;;;;;;;;7248190000.000000;8000000000.000000
1515035811;04/01/2018 04:16;52.310000;59.870000;54.980000;61.090000;;;;;;7089790000.000000;8000000000.000000
1515036111;04/01/2018 04:21;58.960000;67.470000;50.740000;;;;;;;7461090000.000000;8000000000.000000
1515036411;04/01/2018 04:26;59.490000;61.710000;79.160000;;;;;;;7378070000.000000;8000000000.000000
1515036711;04/01/2018 04:31;54.140000;66.900000;46.940000;47.710000;62.250000;;;;;7003990000.000000;8000000000.000000
1515037011;04/01/2018 04:36;59.180000;49.590000;47.300000;45.710000;57.460000;57.830000;77.640000;;;7187230000.000000;8000000000.000000
1515037311;04/01/2018 04:41;68.980000;62.260000;59.410000;65.860000;61.960000;70.230000;;;;7310250000.000000;8000000000.000000
1515037611;04/01/2018 04:46;49.910000;63.050000;48.910000;52.810000;;;;;;7342310000.000000;8000000000.000000
1515037911;04/01/2018 04:51;78.770000;60.540000;67.470000;;;;;;;7013810000.000000;8000000000.000000
1515038211;04/01/2018 04:56;51.860000;72.930000;;;;;;;;7496900000.000000;8000000000.000000
1515038511;04/01/2018 05:01;57.810000;53.810000;43.040000;71.760000;61.330000;64.950000;;;;7299600000.000000;8000000000.000000
1515038811;04/01/2018 05:06;78.680000;73.980000;;;;;;;;7402380000.000000;8000000000.000000
1515039111;04/01/2018 05:11;70.100000;65.740000;63.630000;57.900000;57.700000;76.490000;55.710000;58.170000;51.820000;7124090000.000000;8000000000.000000
1515039411;04/01/2018 05:16;53.050000;59.380000;71.110000;;;;;;;7030060000.000000;8000000000.000000
1515039711;04/01/2018 05:21;60.340000;56.070000;69.090000;53.980000;77.730000;63.790000;60.300000;;;7028360000.000000;8000000000.000000
1515040011;04/01/2018 05:26;54.410000;54.770000;68.860000;68.860000;50.930000;46.000000;67.110000;69.900000;;7429080000.000000;8000000000.000000
1515040311;04/01/2018 05:31;66.940000;;;;;;;;;7468280000.000000;8000000000.000000
1515040611;04/01/2018 05:36;60.820000;72.020000;76.320000;61.510000;69.680000;;;;;7356820000.000000;8000000000.000000
1515040911;04/01/2018 05:41;66.180000;61.230000;70.580000;52.750000;66.660000;58.340000;;;;7455890000.000000;8000000000.000000
1515041211;04/01/2018 05:46;58.380000;60.170000;70.010000;;;;;;;7292090000.000000;8000000000.000000
1515041511;04/01/2018 05:51;74.100000;50.330000;65.720000;71.350000;59.770000;65.210000;58.170000;46.910000;63.780000;7156220000.000000;8000000000.000000
1515041811;04/01/2018 05:56;52.820000;65.990000;61.900000;59.510000;52.690000;70.810000;52.040000;64.870000;65.240000;7052490000.000000;8000000000.000000
1515042111;04/01/2018 06:01;50.650000;70.110000;;;;;;;;7310160000.000000;8000000000.000000
1515042411;04/01/2018 06:06;71.750000;54.780000;57.470000;52.860000;76.820000;51.540000;78.720000;;;7016590000.000000;8000000000.000000
1515042711;04/01/2018 06:11;55.790000;59.660000;;;;;;;;7324960000.000000;8000000000.000000
1515043011;04/01/2018 06:16;57.840000;62.670000;69.160000;71.000000;45.970000;66.740000;65.920000;75.930000;80.960000;7300540000.000000;8000000000.000000
1515043311;04/01/2018 06:21;46.540000;57.410000;49.280000;78.940000;;;;;;7262450000.000000;8000000000.000000
1515043611;04/01/2018 06:26;69.130000;58.110000;48.780000;56.210000;45.040000;;;;;7343540000.000000;8000000000.000000
1515043911;04/01/2018 06:31;65.360000;64.280000;52.480000;67.190000;;;;;;7258530000.000000;8000000000.000000
1515044211;04/01/2018 06:36;57.920000;65.980000;76.240000;53.640000;60.680000;;;;;7384970000.000000;8000000000.000000
1515044511;04/01/2018 06:41;67.960000;68.410000;78.090000;57.020000;67.490000;;;;;7072970000.000000;8000000000.000000
1515044811;04/01/2018 06:46;70.310000;;;;;;;;;7057730000.000000;8000000000.000000
1515045111;04/01/2018 06:51;75.800000;67.180000;45.430000;45.470000;;;;;;7254070000.000000;8000000000.000000
1515045411;04/01/2018 06:56;50.190000;72.370000;57.060000;73.130000;;;;;;7373540000.000000;8000000000.000000
1515045711;04/01/2018 07:01;54.390000;50.370000;45.260000;57.150000;;;;;;7100630000.000000;8000000000.000000
1515046011;04/01/2018 07:06;58.290000;68.390000;53.420000;74.810000;68.420000;79.520000;73.480000;59.640000;64.920000;7397880000.000000;8000000000.000000
1515046311;04/01/2018 07:11;52.380000;52.460000;54.100000;65.790000;;;;;;7261240000.000000;8000000000.000000
1515046611;04/01/2018 07:16;47.470000;59.500000;44.850000;;;;;;;7238910000.000000;8000000000.000000
1515046911;04/01/2018 07:21;52.820000;67.420000;76.760000;61.460000;47.770000;;;;;7137550000.000000;8000000000.000000
1515047211;04/01/2018 07:26;59.050000;50.430000;48.760000;75.560000;79.010000;;;;;7214790000.000000;8000000000.000000
1515047511;04/01/2018 07:31;72.980000;63.030000;60.820000;;;;;;;7465540000.000000;8000000000.000000
1515047811;04/01/2018 07:36;44.530000;;;;;;;;;7315990000.000000;8000000000.000000
1515048111;04/01/2018 07:41;59.140000;50.900000;74.640000;61.290000;;;;;;7307730000.000000;8000000000.000000
1515048411;04/01/2018 07:46;52.810000;55.700000;;;;;;;;7408480000.000000;8000000000.000000
1515048711;04/01/2018 07:51;73.730000;72.430000;58.650000;53.130000;50.700000;50.160000;66.630000;70.170000;71.730000;7251680000.000000;8000000000.000000
1515049011;04/01/2018 07:56;67.140000;76.900000;55.320000;70.730000;56.880000;70.110000;75.030000;;;7040230000.000000;8000000000.000000
1515049311;04/01/2018 08:01;63.740000;45.860000;49.120000;68.990000;48.210000;74.940000;73.130000;;;7220290000.000000;8000000000.000000
1515049611;04/01/2018 08:06;50.250000;47.490000;77.460000;52.330000;79.760000;70.550000;49.300000;52.570000;59.090000;7459740000.000000;8000000000.000000
1515049911;04/01/2018 08:11;67.790000;60.900000;53.870000;68.290000;76.140000;78.140000;79.440000;48.690000;;7460970000.000000;8000000000.000000
1515050211;04/01/2018 08:16;69.690000;;;;;;;;;7255160000.000000;8000000000.000000
1515050511;04/01/2018 08:21;58.890000;49.800000;80.450000;;;;;;;7234700000.000000;8000000000.000000
1515050811;04/01/2018 08:26;56.600000;;;;;;;;;7339190000.000000;8000000000.000000
1515051111;04/01/2018 08:31;74.120000;52.460000;69.050000;72.650000;69.680000;;;;;7211840000.000000;8000000000.000000
1515051411;04/01/2018 08:36;48.960000;48.700000;56.480000;72.510000;41.960000;69.650000;73.660000;;;7309490000.000000;8000000000.000000
1515051711;04/01/2018 08:41;44.910000;49.240000;64.850000;66.050000;56.100000;61.280000;74.500000;64.220000;;7251890000.000000;8000000000.000000
1515052011;04/01/2018 08:46;80.520000;71.500000;;;;;;;;7395940000.000000;8000000000.000000
1515052311;04/01/2018 08:51;71.170000;81.020000;57.350000;74.400000;61.120000;;;;;7299850000.000000;8000000000.000000
1515052611;04/01/2018 08:56;71.270000;68.010000;64.960000;71.510000;51.190000;69.640000;47.040000;68.780000;;7265720000.000000;8000000000.000000
1515052911;04/01/2018 09:01;62.250000;63.090000;;;;;;;;7202540000.000000;8000000000.000000
1515053211;04/01/2018 09:06;61.960000;60.230000;60.170000;65.620000;77.970000;;;;;7036740000.000000;8000000000.000000
1515053511;04/01/2018 09:11;52.810000;69.690000;64.670000;73.650000;74.420000;68.350000;50.530000;;;7322270000.000000;8000000000.000000
1515053811;04/01/2018 09:16;49.000000;42.990000;70.810000;78.700000;;;;;;7004960000.000000;8000000000.000000
1515054111;04/01/2018 09:21;62.610000;55.830000;77.290000;58.370000;75.380000;59.190000;55.010000;50.590000;47.750000;7338710000.000000;8000000000.000000
1515054411;04/01/2018 09:26;57.640000;56.160000;55.980000;49.250000;59.500000;59.100000;71.620000;73.070000;;7055030000.000000;8000000000.000000
1515054711;04/01/2018 09:31;52.390000;51.260000;74.160000;72.030000;60.080000;54.300000;;;;7398800000.000000;8000000000.000000
1515055011;04/01/2018 09:36;74.890000;73.160000;59.570000;59.200000;70.140000;49.470000;;;;7370420000.000000;8000000000.000000
1515055311;04/01/2018 09:41;50.450000;77.470000;68.830000;77.510000;55.630000;50.170000;64.570000;;;7432550000.000000;8000000000.000000
1515055611;04/01/2018 09:46;62.410000;74.840000;58.660000;55.080000;69.650000;71.000000;;;;7037060000.000000;8000000000.000000
1515055911;04/01/2018 09:51;46.050000;56.920000;74.570000;53.220000;;;;;;7407720000.000000;8000000000.000000
1515056211;04/01/2018 09:56;57.550000;72.830000;45.190000;67.920000;72.110000;65.030000;72.550000;53.470000;54.490000;7439890000.000000;8000000000.000000
1515056511;04/01/2018 10:01;67.980000;;;;;;;;;7269790000.000000;8000000000.000000
1515056811;04/01/2018 10:06;77.200000;52.180000;73.690000;56.430000;48.740000;67.860000;64.910000;63.080000;61.400000;7283600000.000000;8000000000.000000
1515057111;04/01/2018 10:11;73.770000;71.520000;73.630000;66.560000;55.970000;49.930000;80.160000;;;7477290000.000000;8000000000.000000
1515057411;04/01/2018 10:16;58.380000;59.490000;48.680000;44.350000;60.050000;69.860000;74.240000;58.970000;57.130000;7389050000.000000;8000000000.000000
1515057711;04/01/2018 10:21;79.720000;70.190000;52.130000;64.250000;62.180000;62.870000;57.730000;45.330000;;7245690000.000000;8000000000.000000
1515058011;04/01/2018 10:26;57.150000;45.160000;59.380000;58.580000;59.570000;;;;;7122880000.000000;8000000000.000000
1515058311;04/01/2018 10:31;75.040000;56.320000;58.680000;52.170000;71.940000;63.860000;;;;7114710000.000000;8000000000.000000
1515058611;04/01/2018 10:36;67.960000;54.960000;70.560000;51.450000;66.360000;68.360000;68.320000;65.600000;;7414010000.000000;8000000000.000000
1515058911;04/01/2018 10:41;57.550000;55.350000;54.480000;57.800000;70.620000;58.840000;57.580000;;;7167760000.000000;8000000000.000000
1515059211;04/01/2018 10:46;75.670000;48.760000;48.950000;63.470000;66.520000;47.990000;78.340000;;;7038630000.000000;8000000000.000000
1515059511;04/01/2018 10:51;66.740000;68.400000;59.520000;76.850000;62.740000;59.360000;67.190000;62.440000;;7072360000.000000;8000000000.000000
1515059811;04/01/2018 10:56;56.420000;52.730000;78.400000;;;;;;;7493200000.000000;8000000000.000000
1515060111;04/01/2018 11:01;67.440000;66.430000;51.890000;76.650000;79.500000;60.480000;55.620000;;;7182590000.000000;8000000000.000000
1515060411;04/01/2018 11:06;53.360000;59.620000;66.020000;65.690000;;;;;;7256660000.000000;8000000000.000000
1515060711;04/01/2018 11:11;54.940000;51.590000;59.660000;59.500000;77.250000;;;;;7337430000.000000;8000000000.000000
1515061011;04/01/2018 11:16;47.750000;57.500000;51.090000;47.760000;;;;;;7244240000.000000;8000000000.000000
1515061311;04/01/2018 11:21;58.280000;69.760000;;;;;;;;7384010000.000000;8000000000.000000
1515061611;04/01/2018 11:26;71.410000;45.790000;48.600000;63.610000;59.840000;72.040000;;;;7131150000.000000;8000000000.000000
1515061911;04/01/2018 11:31;72.750000;53.720000;65.610000;71.260000;52.510000;62.160000;51.530000;59.180000;;7174840000.000000;8000000000.000000
1515062211;04/01/2018 11:36;54.010000;50.350000;64.930000;;;;;;;7398820000.000000;8000000000.000000
1515062511;04/01/2018 11:41;66.510000;61.780000;51.870000;46.210000;73.100000;69.250000;;;;7000170000.000000;8000000000.000000
1515062811;04/01/2018 11:46;67.350000;;;;;;;;;7182660000.000000;8000000000.000000
1515063111;04/01/2018 11:51;57.270000;64.000000;60.620000;74.890000;51.830000;55.610000;63.970000;;;7436660000.000000;8000000000.000000
1515063411;04/01/2018 11:56;66.470000;57.730000;73.440000;73.060000;46.890000;;;;;7078490000.000000;8000000000.000000
1515063711;04/01/2018 12:01;58.200000;50.860000;67.690000;56.160000;53.070000;71.870000;52.260000;55.470000;;7374560000.000000;8000000000.000000
1515064011;04/01/2018 12:06;49.440000;;;;;;;;;7343440000.000000;8000000000.000000
1515064311;04/01/2018 12:11;49.510000;54.600000;53.560000;69.140000;82.800000;69.610000;60.400000;;;7072650000.000000;8000000000.000000
1515064611;04/01/2018 12:16;70.350000;47.450000;75.460000;76.600000;72.280000;55.970000;;;;7023320000.000000;8000000000.000000
1515064911;04/01/2018 12:21;53.670000;73.670000;68.090000;53.710000;;;;;;7465040000.000000;8000000000.000000
1515065211;04/01/2018 12:26;61.450000;74.940000;;;;;;;;7133470000.000000;8000000000.000000
1515065511;04/01/2018 12:31;64.300000;59.610000;;;;;;;;7284080000.000000;8000000000.000000
1515065811;04/01/2018 12:36;61.910000;74.480000;82.290000;;;;;;;7402660000.000000;8000000000.000000
1515066111;04/01/2018 12:41;47.550000;65.490000;73.800000;;;;;;;7381970000.000000;8000000000.000000
1515066411;04/01/2018 12:46;58.110000;;;;;;;;;7122980000.000000;8000000000.000000
1515066711;04/01/2018 12:51;58.530000;54.670000;49.650000;44.410000;73.800000;;;;;7059320000.000000;8000000000.000000
1515067011;04/01/2018 12:56;66.020000;59.240000;70.890000;61.270000;62.850000;56.220000;74.990000;64.430000;54.680000;7429500000.000000;8000000000.000000
1515067311;04/01/2018 13:01;54.230000;71.850000;53.430000;48.590000;59.000000;63.860000;66.620000;56.330000;68.690000;7468360000.000000;8000000000.000000
1515067611;04/01/2018 13:06;56.500000;52.320000;70.920000;60.480000;50.850000;53.490000;;;;7090560000.000000;8000000000.000000
1515067911;04/01/2018 13:11;72.140000;75.490000;49.710000;52.730000;68.270000;72.010000;68.990000;68.520000;;7326130000.000000;8000000000.000000
1515068211;04/01/2018 13:16;69.310000;54.310000;76.480000;76.170000;;;;;;7156650000.000000;8000000000.000000
1515068511;04/01/2018 13:21;50.770000;;;;;;;;;7409150000.000000;8000000000.000000
1515068811;04/01/2018 13:26;58.480000;;;;;;;;;7090680000.000000;8000000000.000000
1515069111;04/01/2018 13:31;58.530000;62.260000;65.060000;61.330000;63.530000;52.660000;45.900000;79.120000;;7265820000.000000;8000000000.000000
1515069411;04/01/2018 13:36;53.550000;67.170000;61.030000;78.240000;63.250000;78.470000;67.280000;61.150000;70.760000;7091680000.000000;8000000000.000000
1515069711;04/01/2018 13:41;51.910000;63.090000;67.080000;71.070000;43.140000;66.230000;;;;7409540000.000000;8000000000.000000
1515070011;04/01/2018 13:46;64.990000;49.240000;49.360000;71.580000;69.410000;60.660000;49.870000;;;7473380000.000000;8000000000.000000
1515070311;04/01/2018 13:51;59.070000;54.110000;62.770000;73.200000;52.700000;51.820000;77.270000;50.310000;64.390000;7054160000.000000;8000000000.000000
1515070611;04/01/2018 13:56;66.350000;65.540000;;;;;;;;7101320000.000000;8000000000.000000
1515070911;04/01/2018 14:01;48.730000;58.380000;54.130000;53.060000;;;;;;7464530000.000000;8000000000.000000
1515071211;04/01/2018 14:06;73.600000;69.260000;;;;;;;;7242160000.000000;8000000000.000000
1515071511;04/01/2018 14:11;60.840000;45.740000;71.740000;50.540000;52.680000;49.130000;60.180000;;;7275960000.000000;8000000000.000000
1515071811;04/01/2018 14:16;62.090000;50.300000;59.230000;70.790000;61.510000;53.470000;49.020000;53.010000;;7424710000.000000;8000000000.000000
1515072111;04/01/2018 14:21;75.010000;;;;;;;;;7390990000.000000;8000000000.000000
1515072411;04/01/2018 14:26;69.630000;74.340000;69.940000;57.470000;55.520000;57.240000;50.530000;55.520000;73.240000;7352040000.000000;8000000000.000000
1515072711;04/01/2018 14:31;70.680000;76.170000;56.770000;70.790000;;;;;;7188240000.000000;8000000000.000000
1515073011;04/01/2018 14:36;70.470000;60.660000;78.900000;51.770000;;;;;;7013360000.000000;8000000000.000000
1515073311;04/01/2018 14:41;69.390000;52.080000;71.040000;;;;;;;7061400000.000000;8000000000.000000
1515073611;04/01/2018 14:46;45.390000;55.490000;52.940000;68.050000;69.370000;70.650000;52.860000;48.290000;59.190000;7040600000.000000;8000000000.000000
1515073911;04/01/2018 14:51;57.270000;48.470000;66.980000;;;;;;;7112980000.000000;8000000000.000000
1515074211;04/01/2018 14:56;78.060000;53.070000;48.910000;70.400000;;;;;;7488240000.000000;8000000000.000000
1515074511;04/01/2018 15:01;63.310000;53.910000;68.340000;62.380000;73.740000;;;;;7352090000.000000;8000000000.000000
1515074811;04/01/2018 15:06;63.540000;67.940000;54.770000;66.820000;76.840000;;;;;7300700000.000000;8000000000.000000
1515075111;04/01/2018 15:11;70.730000;47.440000;;;;;;;;7232070000.000000;8000000000.000000
1515075411;04/01/2018 15:16;71.410000;48.100000;55.600000;54.750000;64.160000;65.470000;73.410000;;;7174200000.000000;8000000000.000000
1515075711;04/01/2018 15:21;64.410000;62.620000;56.760000;52.160000;;;;;;7366180000.000000;8000000000.000000
1515076011;04/01/2018 15:26;63.480000;55.760000;67.010000;59.410000;70.340000;74.960000;64.400000;70.280000;;7224080000.000000;8000000000.000000
1515076311;04/01/2018 15:31;58.180000;68.470000;65.010000;;;;;;;7204620000.000000;8000000000.000000
1515076611;04/01/2018 15:36;68.970000;54.730000;71.370000;61.990000;69.370000;;;;;7033260000.000000;8000000000.000000
1515076911;04/01/2018 15:41;70.960000;59.170000;59.130000;73.460000;51.200000;61.080000;47.630000;;;7133760000.000000;8000000000.000000
1515077211;04/01/2018 15:46;50.190000;59.120000;;;;;;;;7376180000.000000;8000000000.000000
1515077511;04/01/2018 15:51;73.300000;;;;;;;;;7145390000.000000;8000000000.000000
1515077811;04/01/2018 15:56;47.060000;60.160000;;;;;;;;7009840000.000000;8000000000.000000
1515078111;04/01/2018 16:01;57.110000;69.690000;74.900000;57.880000;;;;;;7423440000.000000;8000000000.000000
1515078411;04/01/2018 16:06;73.590000;51.710000;74.060000;72.870000;;;;;;7460210000.000000;8000000000.000000
1515078711;04/01/2018 16:11;55.390000;65.910000;66.120000;55.880000;54.940000;;;;;7015120000.000000;8000000000.000000
1515079011;04/01/2018 16:16;66.420000;60.910000;60.560000;52.400000;71.820000;;;;;7392690000.000000;8000000000.000000
1515079311;04/01/2018 16:21;52.510000;71.790000;;;;;;;;7061360000.000000;8000000000.000000
1515079611;04/01/2018 16:26;66.030000;74.900000;57.880000;56.680000;;;;;;7441320000.000000;8000000000.000000
1515079911;04/01/2018 16:31;65.150000;62.480000;74.450000;46.320000;66.010000;68.910000;61.900000;64.020000;;7026520000.000000;8000000000.000000
1515080211;04/01/2018 16:36;72.500000;63.580000;72.530000;56.300000;67.260000;;;;;7143110000.000000;8000000000.000000
1515080511;04/01/2018 16:41;65.680000;59.530000;53.710000;77.260000;43.060000;77.860000;77.090000;55.090000;58.030000;7148730000.000000;8000000000.000000
1515080811;04/01/2018 16:46;65.410000;68.770000;52.300000;80.860000;50.990000;49.100000;;;;7153050000.000000;8000000000.000000
1515081111;04/01/2018 16:51;69.730000;79.530000;;;;;;;;7408130000.000000;8000000000.000000
1515081411;04/01/2018 16:56;55.260000;65.220000;56.700000;;;;;;;7392290000.000000;8000000000.000000
1515081711;04/01/2018 17:01;70.360000;69.970000;64.360000;70.430000;63.640000;67.630000;78.070000;;;7157620000.000000;8000000000.000000
1515082011;04/01/2018 17:06;53.670000;;;;;;;;;7174580000.000000;8000000000.000000
1515082311;04/01/2018 17:11;67.240000;70.770000;45.780000;77.840000;50.130000;64.510000;70.330000;48.640000;;7023430000.000000;8000000000.000000
1515082611;04/01/2018 17:16;67.010000;77.700000;49.040000;;;;;;;7121340000.000000;8000000000.000000
1515082911;04/01/2018 17:21;73.370000;75.760000;64.420000;65.400000;67.590000;61.120000;;;;7014040000.000000;8000000000.000000
1515083211;04/01/2018 17:26;64.840000;63.360000;68.540000;;;;;;;7120760000.000000;8000000000.000000
1515083511;04/01/2018 17:31;80.730000;62.510000;72.840000;;;;;;;7028570000.000000;8000000000.000000
1515083811;04/01/2018 17:36;64.160000;74.470000;41.240000;;;;;;;7216380000.000000;8000000000.000000
1515084111;04/01/2018 17:41;59.600000;70.620000;63.490000;69.270000;70.210000;47.650000;53.890000;75.750000;53.550000;7165010000.000000;8000000000.000000
1515084411;04/01/2018 17:46;49.440000;77.150000;75.370000;66.260000;76.850000;60.340000;64.630000;64.380000;;7039700000.000000;8000000000.000000
1515084711;04/01/2018 17:51;55.920000;52.030000;77.600000;46.070000;;;;;;7412700000.000000;8000000000.000000
1515085011;04/01/2018 17:56;83.250000;;;;;;;;;7031340000.000000;8000000000.000000
1515085311;04/01/2018 18:01;62.900000;51.430000;;;;;;;;7201320000.000000;8000000000.000000
1515085611;04/01/2018 18:06;45.110000;;;;;;;;;7140290000.000000;8000000000.000000
1515085911;04/01/2018 18:11;44.370000;65.380000;72.100000;;;;;;;7211130000.000000;8000000000.000000
1515086211;04/01/2018 18:16;61.520000;67.980000;74.980000;49.240000;75.390000;79.290000;65.120000;;;7384440000.000000;8000000000.000000
1515086511;04/01/2018 18:21;64.580000;58.720000;;;;;;;;7385960000.000000;8000000000.000000
1515086811;04/01/2018 18:26;76.370000;;;;;;;;;7207930000.000000;8000000000.000000
1515087111;04/01/2018 18:31;60.220000;;;;;;;;;7232830000.000000;8000000000.000000
1515087411;04/01/2018 18:36;48.980000;46.370000;;;;;;;;7330860000.000000;8000000000.000000
1515087711;04/01/2018 18:41;59.970000;76.330000;65.720000;63.790000;;;;;;7284500000.000000;8000000000.000000
1515088011;04/01/2018 18:46;61.430000;74.670000;47.190000;72.470000;69.090000;53.190000;67.330000;49.140000;46.800000;7078180000.000000;8000000000.000000
1515088311;04/01/2018 18:51;71.060000;69.800000;49.310000;55.420000;57.400000;50.760000;42.570000;;;7313690000.000000;8000000000.000000
1515088611;04/01/2018 18:56;65.830000;;;;;;;;;7078910000.000000;8000000000.000000
